City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,alotau,-10.3069,150.4462,25.76,91,100,2.27,PG,1740004004
272,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1740004006
273,salinas,36.6777,-121.6555,14.87,96,100,3.09,US,1740003760
274,kenora,49.8167,-94.4337,-13.46,43,75,3.6,CA,1740004008
275,mazouna,36.1223,0.8987,10.2,80,94,1.49,DZ,1740004009
276,uturoa,-16.7333,-151.4333,27.34,78,100,8.7,PF,1740004010
277,cartagena,10.3997,-75.5144,29.79,70,20,5.14,CO,1740004011
278,mount pearl,47.5166,-52.7813,1.29,93,75,5.66,CA,1740004012
279,nar'yan-mar,67.6713,53.087,-11.29,85,100,5.45,RU,1740004013
280,port-gentil,-0.7193,8.7815,28.98,79,40,2.06,GA,1740004014
281,kodinsk,58.6881,99.1844,-26.5,100,73,1.68,RU,1740004016
282,qui nhon,13.7667,109.2333,20.55,89,54,3.35,VN,1740004017
283,sumberpucung,-8.1586,112.4829,20.58,98,100,1.48,ID,1740004018
284,colonia,50.9333,6.95,3.3,54,0,4.63,DE,1740004019
285,molochnoye,59.2917,39.6787,-13.77,97,74,1.66,RU,1740004020
286,fort william,56.8165,-5.1121,4.06,92,98,2.3,GB,1740004021
287,ciudad lazaro cardenas,17.9583,-102.2,28.1,61,100,4.24,MX,1740004022
288,isangel,-19.55,169.2667,29.06,84,75,3.09,VU,1740004024
289,kapuskasing,49.4169,-82.4331,-14.0,78,100,4.63,CA,1740004026
290,eshowe,-28.8865,31.4699,17.78,98,100,2.09,ZA,1740004027
291,port macquarie,-31.4333,152.9167,23.93,74,97,1.79,AU,1740004028
292,axim,4.8699,-2.2405,26.82,89,63,1.67,GH,1740004029
293,parkes,-33.1333,148.1833,21.77,58,0,5.12,AU,1740004030
294,el calafate,-50.3408,-72.2768,13.91,48,99,5.67,AR,1740004031
295,masterton,-40.9597,175.6575,23.54,37,0,3.42,NZ,1740004032
